,Name,catagory,description,Veg_Non,Nutrient,Disease,Diet,Price
19,baked multigrain murukku,baked,"oats, ragi flour (bhakri atta), wheat flour, rice flour, urad dal flour (dry roast and grind the dal to a fine powder), cumin seeds, green chillies, ginger, salt, oil",veg,iron, goitre, low_sodium_diet high_fiber_diet low_fat_diet vegan_diet,490
20,apple rabdi,rabdi,"apples, milk, sugar, green cardamoms, almonds (blanched), pistachios (blanched)",veg,calcium, obesity diabeties, low_fat_diet vegan_diet ketogenic_diet high_protien_diet,265
21,baked namak para,baked,"whole wheat flour (atta), refined flour (maida), baking powder, ghee, salt, carom seeds (ajwain)",veg,magnesium, goitre, low_sodium_diet high_fiber_diet low_fat_diet high_protien_diet,325
22,dates and nuts ladoo,ladoo,"dates (pitted), mixed nuts (almonds, cashews, walnuts, pistachios, peanuts), dessicated coconut (optional)",veg,vitamin_e, heart_disease obesity cancer diabeties kidney_disease anemia, dash_diet high_fiber_diet ketogenic_diet alkaline_diet low_sodium_diet gluten_free_diet vegan_diet omni_diet,685
23,green lentil dessert fudge,dessert,"whole moong beans, cow ghee, raisins, whole milk, jaggery (organic), ground cardamom, almonds (halved)",veg,calcium, goitre heart_disease scurvy diabeties hypertension kidney_disease anemia pregnancy, dash_diet high_fiber_diet ketogenic_diet alkaline_diet hormone_diet low_fat_diet vegan_diet high_protien_diet,225
24,cashew nut cookies,cookie,"cashew paste, ghee, khaand (a sweetening agent and a healthier substitute of sugar), flax or chia seeds, plain yogurt, baking soda, baking powder, vanilla, oats, organic all-purpose flour",veg,protien, hypertension, dash_diet vegan_diet ketogenic_diet high_protien_diet,480
25,almond pearls,almond,"toasted almonds, blueberries, oats, corn flakes, olive oil, salt, curry leaves, mustard seeds, cumin seeds, red chilli powder, turmeric powder, black pepper powder, ajwain, lemon juice",veg,protien, hypertension, gluten_free_diet,335
26,hawaiin papaya salad,salad,"papaya, fresh lime (juiced), watermelon balls or small squares (seedless), fresh pineapple chunks, coconut (unsweetened), vanilla flavoured yogurt (low fat)",veg,fiber, scurvy obesity goitre hypertension, high_fiber_diet ketogenic_diet alkaline_diet low_sodium_diet low_fat_diet high_protien_diet,395
27,vegetable som tam salad,salad,"raw papaya, carrot, french bean diamond, cherry tomato, garlic, crush mix chilli, somtam dressing, peanuts (crushed), peanuts",veg,fiber, heart_disease scurvy obesity hypertension kidney_disease goitre, high_fiber_diet ketogenic_diet low_sodium_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,670
28,spinach and feta crepes,spinach,"milk (whole fat or skimmed), flour, water, butter, honey, salt, vegetable oil, extra butter (for crisping the crepe), spinach, feta cheese (crumbled), greek yogurt (whisked), honey",veg,vitamin_c, kidney_disease scurvy goitre anemia, dash_diet high_fiber_diet type_a_diet ketogenic_diet,395
29,couscous with ratatouille - tangy tomato sauce,sauce,"for the cous cous:, plain couscous, extra virgin olive oil, vegetable stock, herbs (basil, parsley, thyme, cilantro work best), for the ratatouille:, olive oil (regular not extra virgin), red onions, aubergines (cut in to 3 cm cubes), zucchini (cut in to 3 cm cubes), garlic cloves, ground cumin, sweet paprika, tomato paste, salt",veg,chloride, goitre heart_disease eye_disease rickets obesity cancer scurvy diabeties hypertension kidney_disease anemia pregnancy, dash_diet high_fiber_diet ketogenic_diet alkaline_diet hormone_diet low_fat_diet vegan_diet high_protien_diet,510
30,baked almond kofta,kofta,"potato (boiled), nutmeg, milk, almonds (crushed), green onions, refined flour, egg, salt, pepper, eggs, refined flour (for rolling), dried breadcrumbs (for rolling)",veg,calcium, goitre hypertension, high_fiber_diet ketogenic_diet low_sodium_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,515
31,almond and amaranth ladoo,ladoo,"popped amaranth seeds, jaggery, almonds (slivered, unpeeled)",veg,calcium, hypertension, ketogenic_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,495
32,moong dal kiwi coconut soup,soup,"धूली मूंग दाल नमक के साथ उबली हुई, कीवी, नारियल क्रीम, तेल, तेजपत्ता , जीरा, काली मिर्च, लहसुन की कलियां ,, प्याज, हल्दी पाउडर, करी पाउडर, नमक , ताजा हरा धनिया",veg,sodium, scurvy obesity hypertension, dash_diet high_fiber_diet paleo_diet ketogenic_diet alkaline_diet gluten_free_diet,390
33,vegetable som tam salad,salad,"मूंगफली , गाजर, फ्रेंच बीन्स, चेरी टोमैटो, लहसुन, क्रश मिक्स चिली, सॉम टैम ड्रेसिंग, मूंगफली (क्रशड), मूंगफली",veg,fiber, heart_disease scurvy obesity hypertension kidney_disease goitre, high_fiber_diet ketogenic_diet low_sodium_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,690
34,green lentil dessert fudge,dessert,"साबुत हरी मूंग दाल, देसी घी , दूध, गुड़, इलाइची पाउडर, बादाम",veg,iron, goitre heart_disease scurvy diabeties hypertension kidney_disease anemia pregnancy, dash_diet high_fiber_diet alkaline_diet hormone_diet low_fat_diet vegan_diet,200
35,mixed berry &amp; banana smoothie,smoothie,"फिरोजन मिक्स बेरिज़, पका हुआ केला, ताजा संतरे का जूस, लो फैट दही",veg,selenium, hypertension diabeties, dash_diet high_fiber_diet ketogenic_diet alkaline_diet low_fat_diet vegan_diet,470
36,banana walnut smoothie,smoothie,"लो फैट दही, केला, अखरोट, सीड्स  (फैक्ससीड्स और चिया सीड्स), शहद",veg,selenium, hypertension, high_fiber_diet ketogenic_diet alkaline_diet low_fat_diet vegan_diet,235
37,spicy watermelon soup,soup,"तरबूज, अदरक-लहसुन का पेस्ट, पुदीना, चिली फलेक्स, जैतून का तेल (पकाने के लिए)",veg,sodium, obesity, alkaline_diet,215
38,red rice poha,poha,"प्याज, पैपर, बटन मशरूम, जंगली मशरूम, वाइट वाइन, टमाटर, सेज लीफ, रेड पोहा, ट्रफल ऑयल, रोजमेरी",veg,carbohydrates, scurvy obesity cancer diabeties kidney_disease anemia pregnancy, dash_diet ketogenic_diet alkaline_diet vegan_diet high_protien_diet,665
39,mixed salad with lotus root,salad,"आइसबर्ग लैटयूस, लोलो रोसो, एंडिव लैट्यूस , लाल पत्तागोभी, लोटस रूट, कददू, यैम बीन्स, छोटी प्याज, अनार , शैलेट तेल, पोमेलो, लेमनग्रास सॉस",veg,fiber, obesity diabeties hypertension kidney_disease goitre, dash_diet high_fiber_diet ketogenic_diet alkaline_diet low_sodium_diet low_fat_diet high_protien_diet,275
40,sweet potato and quinoa bowl,potato,"स्वीट पौटेटो क्यूब्स, नारियल, प्याज, क्निोआ (पका हुआ), किशमिश, काजू, कालीमिर्च पाउडर, कैएन, तेजपत्ता, नमक",veg,protien, scurvy hypertension kidney_disease goitre pregnancy, dash_diet high_fiber_diet paleo_diet alkaline_diet low_sodium_diet low_fat_diet gluten_free_diet vegan_diet Mediterranean_diet high_protien_diet,675
41,corn and raw mango salad,salad,"भुट्टे के दाने , प्याज, हरी प्याज, लाल शिमला मिर्च, कच्चा आम (टुकड़े), सेलेरी स्टॉक (टुकड़े), चेरी टमाटर, पाइनएप्पल (टुकड़े), पासर्ले, हरा धनिया, बैजल के पत्ते, ब्लैक ऑलिव, नींबू का रस, ऑलिव आॅयल, काला नमक, सफेद मिर्च पाउडर, टाको शेल",veg,fiber, goitre heart_disease scurvy obesity cancer diabeties hypertension kidney_disease anemia, high_fiber_diet ketogenic_diet alkaline_diet low_sodium_diet low_fat_diet gluten_free_diet high_protien_diet,340
42,oats khichdi,khichdi,"क्विक कुकिंग ओट्स, मूंगदाल, जीरा, हल्दी पाउडर, लाल मिर्च पाउडर, प्याज, टमाटर, गाजर, हरी मटर, अदरक, हरी मिर्च, नमक, एक्ट्रा वर्जिन ऑलिव ऑयल, पानी, हरा धनिया",veg,protien, hypertension, dash_diet gluten_free_diet high_protien_diet,210
43,sugar free modak,snacks,"seedless dates, almonds, cashew nuts, walnuts, raisins, dry coconut, poppy seeds, ghee",veg,carbohydrates, heart_disease obesity cancer diabeties hypertension kidney_disease goitre pregnancy, dash_diet high_fiber_diet ketogenic_diet hormone_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,345
44,beetroot modak,snacks,"gram flour (besan), semolina (rava/sooji), beetroot colour or two oven cooked beetroot paste , water, oil (for frying), for sugar syrup:, sugar, water, cardamom powder, lemon juice, cashews (kaju)",veg,selenium, hypertension, low_fat_diet vegan_diet ketogenic_diet,465
45,andhra pan fried pomfret,snacks,"white pomfret fish, sunflower refined ooil, red chilli powder, salt, turmeric powder, ginger-garlic paste, lemon (juiced), cumin powder, coriander powder, garam masala, green chilli, curry leaves, coriander",veg,iron, cancer, high_fiber_diet alkaline_diet hormone_diet low_fat_diet vegan_diet,625
46,ghee roast chicken dosa quesadilla,snacks,"dry red chillies, coriander seeds, cumin seeds, fenugreek seeds, black pepper, clove, garlic, turmeric powder, boneless chicken, curd, lemon (juiced), for cooking chicken:, tamarind pulp, ginger (1 inch), garlic cloves, onion, tomato, ghee, red chilli powder, salt, crushed jaggery, dosa batter (for 4 dosas), processed cheese, ghee or oil (to crisp the dosa), coriander leaves, curry leaves (deep fried), curd, salt, zeera powder, sugar, red chilli powder",non-veg,iron, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,455
47,steam bunny chicken bao,snacks,"buns, all purpose white flour, dry yeast, sugar, salt, warm water, chicken mince, eggs, soy sauce, sugar, sesame oil, worcestershire sauce, chives, aromat powder",non-veg,iron, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,640
48,meat lovers pizza,snacks,"millet flour, tapioca flour, soy milk, garlic powder, baking powder, salt, tomato sauce, mozzarella cheese, prosciutto, pepperoni, chicken salami, salami milano, rosemary, olive oil",non-veg,potassium, goitre obesity cancer kidney_disease anemia pregnancy, dash_diet high_fiber_diet ketogenic_diet low_sodium_diet low_fat_diet type_o_diet vegan_diet omni_diet high_protien_diet,570
49,almond and chicken momos (without shell),snacks,"chicken mince, garlic, carrots, spring onion, ginger, soya sauce, oyster sauce, sesame oil, pepper powder, egg, almonds (blanched), oil (for greasing)",non-veg,calcium, goitre rickets hypertension kidney_disease anemia pregnancy, high_fiber_diet ketogenic_diet hormone_diet low_sodium_diet low_fat_diet low_carb_diet type_a_diet gluten_free_diet vegan_diet high_protien_diet,495
50,christmas tree pizza,snacks,"pizza dough (2 boules), red pepper, red onion, basil pesto (purchased, homemade or vegan pesto), mozzarella cheese, kosher salt",veg,chloride, goitre, high_fiber_diet vegan_diet,510
51,belgian pork chop,snacks,"pork chop, pink pepper corn, green pepper corn, aromatic sauce, salt, black pepper, salted butter, refined oil, red cabbage, bell pepper chop, apricot, onion, red wine, ancho chilli, cayenne pepper, microgreen",veg,iron, goitre pregnancy, high_fiber_diet paleo_diet low_fat_diet vegan_diet high_protien_diet,515
52,christmas chocolate fudge cookies,cookie,"unsalted butter, brown sugar, chocolate, chocolate chips, eggs, flour, cocoa powder, baking powder",veg,magnesium, heart_disease hypertension, high_fiber_diet ketogenic_diet high_protien_diet,430
53,japanese curry arancini with  barley salsa,snacks,"japanese curry, sticky rice, cheese inside rice, barley salsa, wasabi mayo, red capsicum cube (cut), yellow capsicum cube (cut), green capsicum cube (cut), green chily, barley, butter, white pepper, light soya, salt",veg,calcium, goitre, high_fiber_diet ketogenic_diet low_fat_diet vegan_diet high_protien_diet,555
54,chocolate nero cookies,cookie,"almonds, eggs, granulated sugar, bittersweet chocolate, unsalted butter, flour, baking powder, castor sugar, icing sugar",veg,magnesium, heart_disease hypertension, high_fiber_diet ketogenic_diet high_protien_diet,485
55,chicken parmigiana with tomato sauce,snacks,"for chicken parmigiana:, chicken breast, egg whole frozen, flour, planko bread crumbs, fresh italian parsley, vegetable oil, solid butter unsalted, tomato sauce, mozzarella cheese, italian parmesan cheese, thyme, for pepperonata:, red pepper, green pepper, yellow pepper, red onion, fresh tomato, butternut squash, garlic, pure olive oil, vegetable oil, black pepper corn (crushed), salt, parsley, for garnishing:, parsley sprig, spinach",non-veg,vitamin_c, rickets anemia kidney_disease goitre pregnancy, hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,425
56,chocolate appo,snacks,"rice, coconut, baking powder, vanilla extract, cinnamon powder, brown sugar, unsweetened cocoa powder, salt, chocolate chips, butter",veg,magnesium, heart_disease hypertension, high_fiber_diet ketogenic_diet high_protien_diet,525
57,lemon honey glazed sous vide corn on the cob,snacks,"young corn on the cob, honey, lemon juice, garlic cloves (smashed), celery stalk, chives, carrot, salt, paprika powder, parsley, plastic bag, food thermometer",non-veg,protien, scurvy goitre diabeties, dash_diet gluten_free_diet low_fat_diet high_protien_diet,510
58,sous-vide salmon tikka,snacks,"norwegian salmon, black garlic pickle, butter, butchery bag, smoked yogurt, home made prawn crisp, edible flower, salt",non-veg,calcium, goitre heart_disease rickets obesity diabeties hypertension anemia pregnancy, low_fat_diet vegan_diet ketogenic_diet high_protien_diet,505
59,filo pizza,snacks,"filo pastry, himalayan salt, black pepper, salted butter, tomato sauce, broccoli, button mushroom, green zucchini, yellow zucchini, capsicum yellow, capsicum green, capsicum red, pizza spice mix, mozzarella cheese",veg,calcium, goitre, low_fat_diet vegan_diet ketogenic_diet high_protien_diet,515
60,almond and cranberry poha,snacks,"almond flakes, onion, poha, cranberries (frozen/ dried), salt, oil, curry leaves, green chilies, fresh coconut",veg,iron, hypertension, gluten_free_diet low_fat_diet vegan_diet high_fiber_diet,420
61,almond and raw banana galawat,snacks,"almond slivers, raw banana (boiled), almond paste, cooking cream, refined oil, mace powder, cardamom powder , ginger garlic paste, garam masala powder, red chilli powder, salt, tempura batter",veg,selenium, heart_disease scurvy cancer diabeties hypertension kidney_disease anemia, high_fiber_diet ketogenic_diet alkaline_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,655
62,baked namakpara with roasted almond dip,snacks,"almonds (crushed), tomato, garlic cloves, basil sprig, lemon, salt, pepper, for namak para:, refined flour, sugar, salt, olive oil, water",veg,calcium, kidney_disease goitre hypertension, high_fiber_diet ketogenic_diet alkaline_diet low_sodium_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,565
63,grilled almond barfi (sugar free),snacks,"khoya, sweetener (optional), almonds (crushed)",veg,calcium, goitre hypertension, ketogenic_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,535
64,chocolate samosa,snacks,"refined flour, desi ghee, black cardamom seeds, chocolate block, almonds, cashew nuts, pistachio, sugar, garam masala powder, oil",veg,magnesium, heart_disease hypertension, high_fiber_diet ketogenic_diet high_protien_diet,495
65,baked shankarpali recipe,snacks,"whole wheat flour (atta), refined flour (maida), garlic cloves (crushed), salt, red chilli powder, chaat masala, cumin powder, tomato puree, ghee",veg,carbohydrates, goitre diabeties, high_fiber_diet alkaline_diet low_sodium_diet low_fat_diet high_protien_diet,530
66,baked multigrain murukku,snacks,"oats, ragi flour (bhakri atta), wheat flour, rice flour, urad dal flour (dry roast and grind the dal to a fine powder), cumin seeds, green chillies, ginger, salt, oil",veg,iron, goitre, low_sodium_diet high_fiber_diet low_fat_diet vegan_diet,470
67,baked namak para,snacks,"whole wheat flour (atta), refined flour (maida), baking powder, ghee, salt, carom seeds (ajwain)",veg,magnesium, goitre, low_sodium_diet high_fiber_diet low_fat_diet high_protien_diet,635
68,dates and nuts ladoo,snacks,"dates (pitted), mixed nuts (almonds, cashews, walnuts, pistachios, peanuts), dessicated coconut (optional)",veg,vitamin_e, heart_disease obesity cancer diabeties kidney_disease anemia, dash_diet high_fiber_diet ketogenic_diet alkaline_diet low_sodium_diet gluten_free_diet vegan_diet omni_diet,460
69,fish with jamun sauce,snacks,"जामुन, चीनी, मिर्च, लहसुन की कलियां, जीरा पाउडर, फिश फिलेट, सूजी, नमक, पालक",non-veg,vitamin_a, goitre heart_disease rickets obesity cancer diabeties hypertension kidney_disease anemia pregnancy, dash_diet ketogenic_diet alkaline_diet low_fat_diet low_carb_diet vegan_diet high_protien_diet,575
70,dahi lasooni chicken,snacks,"चिकन (बोनलेस क्यूब्स साइज), चीज, लहसुन, अदरक लहसुन का पेस्ट, हरा धनिया, हरी मिर्च पेस्ट, क्रीम, दही , काजू पेस्ट, नमक, काला नमक, गरम मसाला, चाट मसाला, मक्खन",non-veg,iron, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,355
71,pesto fish kebabs,snacks,"किंग फिश एक इंच टुकड़ों को में कटे हुए, लाल शिमला मिर्च एक इंच टुकड़ों को में कटे हुए, बेजल पेस्तो, वाइट वाइन विनेगर, नमक, कुकिंग स्प्रे",non-veg,vitamin_a, goitre heart_disease rickets obesity cancer diabeties hypertension kidney_disease anemia pregnancy, dash_diet ketogenic_diet alkaline_diet low_fat_diet low_carb_diet vegan_diet high_protien_diet,390
72,caramelized sesame smoked almonds,snacks,"साबुत बादाम, सफेद और काले तिल, चीनी, रोजमेरी, लाल मिर्च पाउडर, नमक या सेंधा नमक",veg,calcium, heart_disease, dash_diet ketogenic_diet alkaline_diet low_fat_diet vegan_diet high_protien_diet,210
73,crunchy vegetable dal sattu croquettes,dal,"red lentils or masoor dal (half-boiled), potato (grated), carrot, french beans, bread slices, ground chickpea flour (sattu), green chillies, ginger, onions, garlic (minced), salt, sugar, chaat masala, red chilli powder, garam masala, corn flour, besan, bread crumbs for crunchyness, coriander, refined oil (for fryingp)",veg,iron, kidney_disease scurvy obesity heart_disease, high_fiber_diet low_sodium_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,595
74,sugar free modak,modak,"seedless dates, almonds, cashew nuts, walnuts, raisins, dry coconut, poppy seeds, ghee",veg,carbohydrates, heart_disease obesity cancer diabeties hypertension kidney_disease goitre pregnancy, dash_diet high_fiber_diet ketogenic_diet hormone_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,670
75,beetroot modak,modak,"gram flour (besan), semolina (rava/sooji), beetroot colour or two oven cooked beetroot paste , water, oil (for frying), for sugar syrup:, sugar, water, cardamom powder, lemon juice, cashews (kaju)",veg,selenium, hypertension, low_fat_diet vegan_diet ketogenic_diet,695
76,active charcoal modak,modak,"for modak:, gram flour (besan), semolina (rava/suji), active charcoal, water, oil (for frying), sugar, water, cardamom powder, lemon juice, cashews (kaju)",veg,selenium, obesity diabeties, low_fat_diet vegan_diet ketogenic_diet hormone_diet,255
77,flax seed and beetroot modak,modak,"rice flour, salt, oil (for greasing), beetroot puree, tossed flax seeds (for topping), fresh coconut, jaggery, poppy seeds, green cardamom powder, nutmeg powder",veg,magnesium, goitre heart_disease hypertension, high_fiber_diet vegan_diet high_protien_diet,565
78,summer squash salad,salad,"white balsamic vinegar, lemon juice, lemon rind, red chillies, garlic cloves (crushed), olive oil, summer squash (zucchini), sea salt, black pepper, basil leaves",veg,fiber, goitre obesity hypertension diabeties, dash_diet high_fiber_diet ketogenic_diet alkaline_diet low_sodium_diet low_fat_diet high_protien_diet,690
79,chocolate prunes gujiyas,chocolate,"for gujiya pastry:, refined flour, ghee, water, salt, for gujiya stuffing:, dark chocolate, prunes, mawa, sugar, cardamom",veg,magnesium, heart_disease hypertension, high_fiber_diet ketogenic_diet high_protien_diet,310
80,almond &amp; white chocolate gujiya,gujiya,"all-purpose flour, clarified butter (ghee), water, white chocolate, dessicated coconut, green cardamom powder, almond, jaggery",veg,magnesium, heart_disease rickets obesity scurvy hypertension kidney_disease anemia, high_fiber_diet ketogenic_diet hormone_diet low_fat_diet gluten_free_diet omni_diet high_protien_diet,465
81,betel nut popsicle,sauce,"full cream milk, cream, mascarpone, sugar, paan (crushed), cookie crumble, dark chocolate (melted), caramel sauce",veg,magnesium, hypertension, dash_diet high_fiber_diet ketogenic_diet vegan_diet high_protien_diet,485
82,tricolour salad,salad,"vinegar, honey/sugar, soy sauce, salt, garlic cloves (minced), chilli pepper (sliced), green papaya, carrot (peeled), cucumbers, mint leaves, toasted peanuts",veg,fiber, goitre obesity hypertension, high_fiber_diet ketogenic_diet low_sodium_diet low_fat_diet high_protien_diet,305
83,christmas tree pizza,pizza,"pizza dough (2 boules), red pepper, red onion, basil pesto (purchased, homemade or vegan pesto), mozzarella cheese, kosher salt",veg,chloride, goitre, high_fiber_diet vegan_diet,415
84,clotted cottage cheese croquettes,cheese,"black pepper, black salt, bread crumb, corn flour, refined oil, jalapeno, jeera powder, maida, cottage cheese, parsley, salt, for thousand island dressing:, mayonnaise, tomato ketchup, minced garlic, celery, black pepper",veg,calcium, obesity eye_disease, dash_diet ketogenic_diet alkaline_diet low_fat_diet vegan_diet high_protien_diet,220
85,gajar halwa tart,halwa,"white butter, breakfast sugar, milk full fat, refined flour, winter carrots, ghee, sugar, khoya, cardamom powder, cashew nuts (crushed), almonds (crushed), full fat milk, full fat milk, grain sugar, green cardamom powder",veg,vitamin_d, kidney_disease, low_fat_diet,395
86,gluten-free christmas cake,cake,"christmas dry fruits (pre-soaked), orange zest, lemon zest, jaggery syrup, almond flour, apple, butter (softened), eggs",veg,vitamin_a, kidney_disease goitre, high_protien_diet,620
87,japanese curry arancini with  barley salsa,barley,"japanese curry, sticky rice, cheese inside rice, barley salsa, wasabi mayo, red capsicum cube (cut), yellow capsicum cube (cut), green capsicum cube (cut), green chily, barley, butter, white pepper, light soya, salt",veg,calcium, goitre, high_fiber_diet ketogenic_diet low_fat_diet vegan_diet high_protien_diet,620
88,cream of almond soup,soup,"vegetable stock, skimmed milk, toasted almonds (powdered), butter, flour, salt and pepper, nutmeg, almond essence, toasted almond flakes",veg,calcium, obesity cancer hypertension, ketogenic_diet alkaline_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,600
89,broccoli and almond soup,soup,"vegetable stock, broccoli, ground almonds (toasted), skimmed milk, salt, freshly ground black pepper",veg,vitamin_c, scurvy obesity diabeties hypertension pregnancy, dash_diet ketogenic_diet alkaline_diet gluten_free_diet vegan_diet high_protien_diet,205
